Sample	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Lab2 | SRR8668755_10K_subsample			12.989999999999995	50.0	74.4869	75	10.0	10000.0
Lab2 | SRR8668756_10K_subsample			6.810000000000002	48.0	74.3183	75	10.0	10000.0
Lab2 | SRR8668757_10K_subsample			8.219999999999999	47.0	74.4711	75	10.0	10000.0
Lab2 | SRR8668758_10K_subsample			7.829999999999998	49.0	72.7371	75	10.0	10000.0
Lab2 | SRR8668759_10K_subsample			20.909999999999997	57.0	72.7883	75	30.0	10000.0
Lab2 | SRR8668769_10K_subsample			12.25	53.0	74.4802	75	20.0	10000.0
Lab2 | SRR8668771_10K_subsample			13.510000000000005	52.0	74.5171	75	20.0	10000.0
Lab2 | SRR8668772_10K_subsample			11.579999999999998	50.0	74.479	75	20.0	10000.0
Lab2 | SRR8668773_10K_subsample			8.840000000000003	50.0	74.4618	75	20.0	10000.0
Lab2 | SRR8668774_10K_subsample			8.829999999999998	49.0	73.8314	75	20.0	10000.0
Lecture1 | fastqc | SRR8668755			65.89399718245215	50.0	74.47977032774406	75	30.0	89921353.0
Lecture1 | fastqc | SRR8668755_1M_subsample			34.98187394271703	50.0	74.479287	75	20.0	1000000.0
Lecture1 | fastqc | SRR8668756			59.05638296198224	48.0	74.27136176491946	75	20.0	84483855.0
Lecture1 | fastqc | SRR8668757			56.27171289620192	47.0	74.47828267220119	75	20.0	95110159.0
Lecture1 | fastqc | SRR8668758			48.73720826058155	49.0	72.73567113313266	75	10.0	30161579.0
Lecture1 | fastqc | SRR8668759			50.82794296566836	57.0	72.67510869111962	75	40.0	5323802.0
Lecture1 | fastqc | SRR8668769			71.71708122692716	53.0	74.49919337120164	75	30.0	94251532.0
Lecture1 | fastqc | SRR8668771			63.81019030990686	52.0	74.51151436024564	75	30.0	64436537.0
Lecture1 | fastqc | SRR8668772			62.37434087264336	50.0	74.46793996753237	75	30.0	68179906.0
Lecture1 | fastqc | SRR8668773			62.23118774864832	50.0	74.46369312611812	75	30.0	69980123.0
Lecture1 | fastqc | SRR8668774			59.44554091232145	49.0	73.84977352599223	75	30.0	133387934.0
Lecture1 | kallisto | SRR8668755	52.731322892795	47416719.0						
Lecture1 | kallisto | SRR8668756	68.97238531551383	58270530.0						
Lecture1 | kallisto | SRR8668757	48.72672329356531	46344064.0						
Lecture1 | kallisto | SRR8668758	62.20519820928473	18762070.0						
Lecture1 | kallisto | SRR8668759	48.09737477088743	2560609.0						
Lecture1 | kallisto | SRR8668769	67.60719390746878	63720816.0						
Lecture1 | kallisto | SRR8668771	52.1503335910184	33603869.0						
Lecture1 | kallisto | SRR8668772	54.32876513499446	37041301.0						
Lecture1 | kallisto | SRR8668773	65.41131400983676	45774918.0						
Lecture1 | kallisto | SRR8668774	58.95608069017697	78640298.0						
Lecture1 | kallisto_my_attempt | SRR8668756	68.97238649917195	58270531.0						
Lecture1 | kallisto_my_attempt | SRR8668757	48.72672119074052	46344062.0						
Lecture1 | kallisto_my_attempt | SRR8668758	62.20519820928473	18762070.0						
Lecture1 | kallisto_my_attempt | SRR8668759	0.0	0.0						
Lecture1 | kallisto_my_attempt | SRR8668769	67.60719602945021	63720818.0						
Lecture1 | kallisto_my_attempt | SRR8668773	65.41131400983676	45774918.0						
Lecture1 | kallisto_my_attempt | SRR8668774	58.95608069017697	78640298.0						
