Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
Lecture1 | kallisto | SRR8668755	89921353.0	47416719.0	42504634.0	52.731322892795
Lecture1 | kallisto | SRR8668756	84483855.0	58270530.0	26213325.0	68.97238531551383
Lecture1 | kallisto | SRR8668757	95110159.0	46344064.0	48766095.0	48.72672329356531
Lecture1 | kallisto | SRR8668758	30161579.0	18762070.0	11399509.0	62.20519820928473
Lecture1 | kallisto | SRR8668759	5323802.0	2560609.0	2763193.0	48.09737477088743
Lecture1 | kallisto | SRR8668769	94251532.0	63720816.0	30530716.0	67.60719390746878
Lecture1 | kallisto | SRR8668771	64436537.0	33603869.0	30832668.0	52.1503335910184
Lecture1 | kallisto | SRR8668772	68179906.0	37041301.0	31138605.0	54.32876513499446
Lecture1 | kallisto | SRR8668773	69980123.0	45774918.0	24205205.0	65.41131400983676
Lecture1 | kallisto | SRR8668774	133387934.0	78640298.0	54747636.0	58.95608069017697
Lecture1 | kallisto_my_attempt | SRR8668756	84483855.0	58270531.0	26213324.0	68.97238649917195
Lecture1 | kallisto_my_attempt | SRR8668757	95110159.0	46344062.0	48766097.0	48.72672119074052
Lecture1 | kallisto_my_attempt | SRR8668758	30161579.0	18762070.0	11399509.0	62.20519820928473
Lecture1 | kallisto_my_attempt | SRR8668759	0.0	0.0	0.0	0.0
Lecture1 | kallisto_my_attempt | SRR8668769	94251532.0	63720818.0	30530714.0	67.60719602945021
Lecture1 | kallisto_my_attempt | SRR8668773	69980123.0	45774918.0	24205205.0	65.41131400983676
Lecture1 | kallisto_my_attempt | SRR8668774	133387934.0	78640298.0	54747636.0	58.95608069017697
