Module	Section	Sample Name	Source
Snippy	snippy	Lab2 | multiqc_data_1 | multiqc	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/multiqc_data_1/multiqc.log
Snippy	snippy	Lecture1 | multiqc_data_1 | multiqc	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/multiqc_data_1/multiqc.log
Kallisto	all_sections	Lecture1 | kallisto_my_attempt | SRR8668757	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto_my_attempt/757.log
Kallisto	all_sections	Lecture1 | kallisto_my_attempt | SRR8668756	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto_my_attempt/756.log
Kallisto	all_sections	Lecture1 | kallisto_my_attempt | SRR8668769	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto_my_attempt/769.log
Kallisto	all_sections	Lecture1 | kallisto_my_attempt | SRR8668758	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto_my_attempt/758.log
Kallisto	all_sections	Lecture1 | kallisto_my_attempt | SRR8668759	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto_my_attempt/759.log
Kallisto	all_sections	Lecture1 | kallisto_my_attempt | SRR8668773	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto_my_attempt/773.log
Kallisto	all_sections	Lecture1 | kallisto_my_attempt | SRR8668774	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto_my_attempt/774.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668774	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/CL13.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668773	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/CL12.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668771	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/CL10.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668772	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/CL11.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668757	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/HS03.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668756	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/HS02.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668755	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/HS01.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668759	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/HS05.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668769	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/CL08.log
Kallisto	all_sections	Lecture1 | kallisto | SRR8668758	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/kallisto/HS04.log
FastQC	all_sections	Lab2 | SRR8668774_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668774_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668759_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668759_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668755_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668755_10K_subsample_fastqc.zip
